,id,entrydate,name,symbol,sector,position,entryprice,entrylots,entryrisk,entryrisk_ticks,commission,#exits,exit(0)_date,exit(0)_price,exit(0)_lots,exit(0)_profit,exit(0)_profit_ticks,exit(0)_duration,exit(0)_type,exitdate,profit,profit_ticks,duration,result,currentprice,stopprice,risk,risk_ticks,lots,flame,on_fire
0,1,1990-01-04,ICE Coffee C,KC,tropical,Long,352.249755859375,1,1872.0,104,2.99,1,1990-01-16,347.749755859375,1.0,-1620.0,-90.0,12.0,EXIT,1990-01-16,-1620.0,-90,12.0,LOSE,347.749755859375,347.75,0.0,0,0,-0.0,False
1,2,1990-01-04,COMEX Copper,HG,metal,Long,1.089999976158142,1,1152.0,96,2.99,1,1990-01-12,1.0465,1.0,-1044.0,-87.0,8.0,STOP,1990-01-12,-1044.0,-87,8.0,LOSE,1.0465,1.0465,0.0,0,0,-0.0,False
2,3,1990-01-08,CME Swiss Franc CHF,SF,currency,Long,1.0442004566192626,1,4320.0,360,2.99,1,1990-03-26,1.0465,1.0,276.0,23.0,77.0,STOP,1990-03-26,276.0,23,77.0,WIN,1.0465,1.0465,0.0,0,0,0.0,False
3,4,1990-01-10,CME Lean Hogs,LN,meat,Long,269.0899963378906,1,1260.0,126,2.99,1,1990-01-29,266.325,1.0,-1110.0,-111.0,19.0,STOP,1990-01-29,-1110.0,-111,19.0,LOSE,266.325,266.325,0.0,0,0,-0.0,False
4,5,1990-01-11,ICE Sugar No. 11,SB,tropical,Long,21.570004272460938,1,1144.0,104,2.99,1,1990-05-17,21.87,1.0,330.0,30.0,126.0,STOP,1990-05-17,330.0,30,126.0,WIN,21.87,21.87,0.0,0,0,0.0,False
5,6,1990-01-12,CME Live Cattle,LC,meat,Long,173.4100341796875,1,1320.0,132,2.99,1,1990-02-27,172.54,1.0,-350.0,-35.0,46.0,STOP,1990-02-27,-350.0,-35,46.0,LOSE,172.54,172.54,0.0,0,0,-0.0,False
6,7,1990-01-12,NYMEX WTI Crude Oil,CL,petroleum,Long,105.1399429321289,1,3400.0,340,2.99,1,1990-03-12,104.14,1.0,-1000.0,-100.0,59.0,STOP,1990-03-12,-1000.0,-100,59.0,LOSE,104.14,104.14,0.0,0,0,-0.0,False
7,8,1990-01-12,ICE Cocoa,CC,tropical,Long,4314.0,1,880.0,88,2.99,1,1990-01-19,4230.0,1.0,-840.0,-84.0,7.0,STOP,1990-01-19,-840.0,-84,7.0,LOSE,4230.0,4230.0,0.0,0,0,-0.0,False
8,9,1990-01-17,CME Australian Dollar AUD,AD,currency,Long,0.29455019855499265,1,3040.0,608,2.99,1,1990-01-24,0.27005,1.0,-2450.0,-490.0,7.0,STOP,1990-01-24,-2450.0,-490,7.0,LOSE,0.27005,0.27005,0.0,0,0,-0.0,False
9,10,1990-01-29,NYMEX Platinum,PL,metal,Long,688.199462890625,1,1255.0,251,2.99,1,1990-02-26,670.8,1.0,-870.0,-174.0,28.0,STOP,1990-02-26,-870.0,-174,28.0,LOSE,670.8,670.8,0.0,0,0,-0.0,False
10,11,1990-01-29,NYMEX Gold,GC,metal,Long,970.8009643554688,1,1990.0,199,2.99,1,1990-02-26,957.3,1.0,-1350.0,-135.0,28.0,STOP,1990-02-26,-1350.0,-135,28.0,LOSE,957.3,957.3,0.0,0,0,-0.0,False
11,12,1990-01-30,ICE Cocoa,CC,tropical,Long,4280.0,1,470.0,47,2.99,1,1990-02-08,4237.0,1.0,-430.0,-43.0,9.0,STOP,1990-02-08,-430.0,-43,9.0,LOSE,4237.0,4237.0,0.0,0,0,-0.0,False
12,13,1990-02-12,ICE Coffee C,KC,tropical,Long,355.69976806640625,1,2430.0,135,2.99,1,1990-05-11,358.8,1.0,1116.0,62.0,88.0,STOP,1990-05-11,1116.0,62,88.0,WIN,358.8,358.8,0.0,0,0,0.0,False
13,14,1990-02-15,CBOT Soybean Oil,BO,grain,Long,51.830014038085935,1,486.0,81,2.99,1,1990-07-23,54.88,1.0,1830.0,305.0,158.0,STOP,1990-07-23,1830.0,305,158.0,WIN,54.88,54.88,0.0,0,0,0.0,False
14,15,1990-02-15,COMEX Copper,HG,metal,Long,1.05899995803833,1,1788.0,149,2.99,1,1990-06-12,1.2175,1.0,3804.0,317.0,117.0,STOP,1990-06-12,3804.0,317,117.0,WIN,1.2175,1.2175,0.0,0,0,0.0,False
15,16,1990-02-16,ICE Cotton,CT,fiber,Long,78.33997039794922,1,1255.0,251,2.99,1,1990-08-10,89.67,1.0,5665.0,1133.0,175.0,STOP,1990-08-10,5665.0,1133,175.0,WIN,89.67,89.67,0.0,0,0,0.0,False
16,17,1990-02-22,CBOT Corn,C,grain,Long,657.5,1,300.0,25,2.99,1,1990-06-04,675.75,1.0,876.0,73.0,102.0,STOP,1990-06-04,876.0,73,102.0,WIN,675.75,675.75,0.0,0,0,0.0,False
17,18,1990-02-22,ICE Cocoa,CC,tropical,Long,4339.0,1,920.0,92,2.99,1,1990-06-08,4558.0,1.0,2190.0,219.0,106.0,STOP,1990-06-08,2190.0,219,106.0,WIN,4558.0,4558.0,0.0,0,0,0.0,False
18,19,1990-02-26,CME Lean Hogs,LN,meat,Long,268.8399963378906,1,950.0,95,2.99,1,1990-06-21,276.9,1.0,3220.0,322.0,115.0,STOP,1990-06-21,3220.0,322,115.0,WIN,276.9,276.9,0.0,0,0,0.0,False
19,20,1990-03-06,CME Canadian Dollar CAD,CD,currency,Long,0.7480998220443725,1,780.0,156,2.99,1,1990-05-22,0.7589998064041138,1.0,1090.0,218.0,77.0,EXIT,1990-05-22,1090.0,218,77.0,WIN,0.7589998064041138,0.7593,0.0,0,0,0.0,False
20,21,1990-03-07,CBOT Soybeans,S,grain,Long,61.0,1,732.0,61,2.99,1,1990-04-03,50.5,1.0,-504.0,-42.0,27.0,STOP,1990-04-03,-504.0,-42,27.0,LOSE,50.5,50.5,0.0,0,0,-0.0,False
21,22,1990-03-14,CME Australian Dollar AUD,AD,currency,Long,0.27745022201538083,1,990.0,198,2.99,1,1990-03-21,0.26855,1.0,-890.0,-178.0,7.0,STOP,1990-03-21,-890.0,-178,7.0,LOSE,0.26855,0.26855,0.0,0,0,-0.0,False
22,23,1990-03-20,CME Live Cattle,LC,meat,Long,175.80999755859375,1,1070.0,107,2.99,1,1990-07-02,175.64,1.0,-70.0,-7.0,104.0,STOP,1990-07-02,-70.0,-7,104.0,LOSE,175.64,175.64,0.0,0,0,-0.0,False
23,24,1990-03-23,CBOT Soybean Meal,SM,grain,Long,-256.4997863769531,1,780.0,78,2.99,1,1990-04-03,-263.4,1.0,-690.0,-69.0,11.0,STOP,1990-04-03,-690.0,-69,11.0,LOSE,-263.4,-263.4,0.0,0,0,-0.0,False
24,25,1990-03-30,ICE Orange Juice,OJ,tropical,Long,338.1001892089844,1,1330.0,190,2.99,1,1990-05-01,330.77,1.0,-1029.0,-147.0,32.0,STOP,1990-05-01,-1029.0,-147,32.0,LOSE,330.77,330.77,0.0,0,0,-0.0,False
25,26,1990-04-04,CME British Pound GBP,BP,currency,Long,1.0848994617462158,1,2304.0,384,2.99,1,1990-12-20,1.4327,1.0,20868.0,3478.0,260.0,STOP,1990-12-20,20868.0,3478,260.0,WIN,1.4327,1.4327,0.0,0,0,0.0,False
26,27,1990-04-10,CME Swiss Franc CHF,SF,currency,Long,1.0590004091262817,1,1284.0,107,2.99,1,1990-12-03,1.168,1.0,13080.0,1090.0,237.0,STOP,1990-12-03,13080.0,1090,237.0,WIN,1.168,1.168,0.0,0,0,0.0,False
27,28,1990-04-11,CME Australian Dollar AUD,AD,currency,Long,0.28515024805068967,1,1770.0,354,2.99,1,1990-05-01,0.27085,1.0,-1430.0,-286.0,20.0,STOP,1990-05-01,-1430.0,-286,20.0,LOSE,0.27085,0.27085,0.0,0,0,-0.0,False
28,29,1990-04-26,CBOT Soybeans,S,grain,Long,80.5,1,1164.0,97,2.99,1,1990-05-22,64.5,1.0,-768.0,-64.0,26.0,STOP,1990-05-22,-768.0,-64,26.0,LOSE,64.5,64.5,0.0,0,0,-0.0,False
29,30,1990-04-30,CBOT Soybean Meal,SM,grain,Long,-248.3997802734375,1,1410.0,141,2.99,1,1990-06-01,-259.7,1.0,-1130.0,-113.0,32.0,STOP,1990-06-01,-1130.0,-113,32.0,LOSE,-259.7,-259.7,0.0,0,0,-0.0,False
30,31,1990-05-03,NYMEX Natural Gas,NG,petroleum,Long,34.33800018310547,1,510.0,51,2.99,1,1990-06-05,34.31300079345703,1.0,-250.0,-25.0,33.0,EXIT,1990-06-05,-250.0,-25,33.0,LOSE,34.31300079345703,34.319,0.0,0,0,-0.0,False
31,32,1990-05-08,CBOT Wheat,W,grain,Long,1754.5,1,768.0,64,2.99,1,1990-05-18,1739.25,1.0,-732.0,-61.0,10.0,STOP,1990-05-18,-732.0,-61,10.0,LOSE,1739.25,1739.25,0.0,0,0,-0.0,False
32,33,1990-05-14,CME Japanese Yen JPY,JY,currency,Long,12775.5,1,2606.25,417,2.99,1,1990-12-20,13656.5,1.0,11012.5,1762.0,220.0,STOP,1990-12-20,11012.5,1762,220.0,WIN,13656.5,13656.5,0.0,0,0,0.0,False
33,34,1990-05-17,CBOT 5-year US Treasury Note,FV,interest-rate,Long,27.5,1,637.0,91,2.99,1,1990-08-17,28.0859375,1.0,525.0,75.0,92.0,STOP,1990-08-17,525.0,75,92.0,WIN,28.0859375,28.0859375,0.0,0,0,0.0,False
34,35,1990-05-17,CBOT 10-year US Treasury Note,TY,interest-rate,Long,-1.6875,1,912.0,76,2.99,1,1990-08-06,-1.078125,1.0,468.0,39.0,81.0,STOP,1990-08-06,468.0,39,81.0,WIN,-1.078125,-1.078125,0.0,0,0,0.0,False
35,36,1990-05-17,CBOT 30-year US Treasury Bond,US,interest-rate,Long,-12.779830932617188,1,1953.0,63,2.99,1,1990-08-06,-12.18591,1.0,589.0,19.0,81.0,STOP,1990-08-06,589.0,19,81.0,WIN,-12.18591,-12.18591,0.0,0,0,0.0,False
36,37,1990-05-21,NYMEX Platinum,PL,metal,Long,662.199462890625,1,950.0,190,2.99,1,1990-06-01,644.1,1.0,-905.0,-181.0,11.0,STOP,1990-06-01,-905.0,-181,11.0,LOSE,644.1,644.1,0.0,0,0,-0.0,False
37,38,1990-05-22,CME Australian Dollar AUD,AD,currency,Long,0.290050226688385,1,1865.0,373,2.99,1,1990-10-15,0.33475,1.0,4470.0,894.0,146.0,STOP,1990-10-15,4470.0,894,146.0,WIN,0.33475,0.33475,0.0,0,0,0.0,False
38,39,1990-05-29,ICE Orange Juice,OJ,tropical,Long,339.0502014160156,1,945.0,135,2.99,1,1990-06-11,332.8501892089844,1.0,-868.0,-124.0,13.0,EXIT,1990-06-11,-868.0,-124,13.0,LOSE,332.8501892089844,332.82,0.0,0,0,-0.0,False
